"Name","Status","DisplayName"
"Appinfo","Running","Application Information"
"AppMgmt","Running","Application Management"
"AudioEndpointBuilder","Running","Windows Audio Endpoint Builder"
"Audiosrv","Running","Windows Audio"
"BFE","Running","Base Filtering Engine"
"BrokerInfrastructure","Running","Background Tasks Infrastructure Service"
"BthAvctpSvc","Running","AVCTP service"
"cbdhsvc_6355e","Running","Clipboard User Service_6355e"
"CDPSvc","Running","Connected Devices Platform Service"
"CDPUserSvc_6355e","Running","Connected Devices Platform User Service_6355e"
"CertPropSvc","Running","Certificate Propagation"
"COMSysApp","Running","COM+ System Application"
"CoreMessagingRegistrar","Running","CoreMessaging"
"CryptSvc","Running","Cryptographic Services"
"DcomLaunch","Running","DCOM Server Process Launcher"
"Dhcp","Running","DHCP Client"
"DiagTrack","Running","Connected User Experiences and Telemetry"
"Dnscache","Running","DNS Client"
"DoSvc","Running","Delivery Optimization"
"DPS","Running","Diagnostic Policy Service"
"DsSvc","Running","Data Sharing Service"
"DusmSvc","Running","Data Usage"
"EventLog","Running","Windows Event Log"
"EventSystem","Running","COM+ Event System"
"FontCache","Running","Windows Font Cache Service"
"gpsvc","Running","Group Policy Client"
"IKEEXT","Running","IKE and AuthIP IPsec Keying Modules"
"iphlpsvc","Running","IP Helper"
"KeyIso","Running","CNG Key Isolation"
"LanmanServer","Running","Server"
"LanmanWorkstation","Running","Workstation"
"lfsvc","Running","Geolocation Service"
"LicenseManager","Running","Windows License Manager Service"
"lmhosts","Running","TCP/IP NetBIOS Helper"
"LSM","Running","Local Session Manager"
"mpssvc","Running","Windows Defender Firewall"
"MSDTC","Running","Distributed Transaction Coordinator"
"NcbService","Running","Network Connection Broker"
"netprofm","Running","Network List Service"
"NlaSvc","Running","Network Location Awareness"
"nsi","Running","Network Store Interface Service"
"OneSyncSvc_6355e","Running","Sync Host_6355e"
"OpenVPNServiceInteractive","Running","OpenVPN Interactive Service"
"PcaSvc","Running","Program Compatibility Assistant Service"
"PlugPlay","Running","Plug and Play"
"PolicyAgent","Running","IPsec Policy Agent"
"Power","Running","Power"
"ProfSvc","Running","User Profile Service"
"RasMan","Running","Remote Access Connection Manager"
"RpcEptMapper","Running","RPC Endpoint Mapper"
"RpcSs","Running","Remote Procedure Call (RPC)"
"SamSs","Running","Security Accounts Manager"
"Schedule","Running","Task Scheduler"
"SecurityHealthService","Running","Windows Security Service"
"SENS","Running","System Event Notification Service"
"SessionEnv","Running","Remote Desktop Configuration"
"SgrmBroker","Running","System Guard Runtime Monitor Broker"
"ShellHWDetection","Running","Shell Hardware Detection"
"Spooler","Running","Print Spooler"
"SSDPSRV","Running","SSDP Discovery"
"SstpSvc","Running","Secure Socket Tunneling Protocol Service"
"StateRepository","Running","State Repository Service"
"StorSvc","Running","Storage Service"
"SysMain","Running","SysMain"
"SystemEventsBroker","Running","System Events Broker"
"TabletInputService","Running","Touch Keyboard and Handwriting Panel Service"
"TermService","Running","Remote Desktop Services"
"Themes","Running","Themes"
"TimeBrokerSvc","Running","Time Broker"
"TokenBroker","Running","Web Account Manager"
"TrkWks","Running","Distributed Link Tracking Client"
"UmRdpService","Running","Remote Desktop Services UserMode Port Redirector"
"UserManager","Running","User Manager"
"UsoSvc","Running","Update Orchestrator Service"
"VaultSvc","Running","Credential Manager"
"VGAuthService","Running","VMware Alias Manager and Ticket Service"
"VMTools","Running","VMware Tools"
"Wcmsvc","Running","Windows Connection Manager"
"WdiServiceHost","Running","Diagnostic Service Host"
"WdiSystemHost","Running","Diagnostic System Host"
"WdNisSvc","Running","Windows Defender Antivirus Network Inspection Service"
"WinDefend","Running","Windows Defender Antivirus Service"
"WinHttpAutoProxySvc","Running","WinHTTP Web Proxy Auto-Discovery Service"
"Winmgmt","Running","Windows Management Instrumentation"
"wlidsvc","Running","Microsoft Account Sign-in Assistant"
"WpnService","Running","Windows Push Notifications System Service"
"WpnUserService_6355e","Running","Windows Push Notifications User Service_6355e"
"wscsvc","Running","Security Center"
"WSearch","Running","Windows Search"
"wuauserv","Running","Windows Update"
